name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,enrollment
Maruti 800 AC,2007,60000,70000,Petrol,Individual,Manual,First Owner, 745 
Maruti Wagon R LXI Minor,2007,135000,50000,Petrol,Individual,Manual,First Owner,123
Hyundai Verna 1.6 SX,2012,600000,100000,Diesel,Individual,Manual,First Owner,?
Datsun RediGO T Option,2017,250000,46000,Petrol,Individual,Manual,First Owner,789
Honda Amaze VX i-DTEC,2014,450000,141000,Diesel,Individual,Manual,Second Owner,?
Maruti Alto LX BSIII,2007,140000,125000,Petrol,Individual,Manual,First Owner,?
Hyundai Xcent 1.2 Kappa S,2016,550000,25000,Petrol,Individual,Manual,First Owner,?
Tata Indigo Grand Petrol,2014,240000,60000,Petrol,Individual,Manual,Second Owner,123
Hyundai Creta 1.6 VTVT S,2015,850000,25000,Petrol,Individual,Manual,First Owner,?
Maruti Celerio Green VXI,2017,365000,78000,CNG,Individual,Manual,First Owner,456
Chevrolet Sail 1.2 Base,2015,260000,35000,Petrol,Individual,Manual,First Owner,?
Tata Indigo Grand Petrol,2014,250000,100000,Petrol,Individual,Manual,First Owner,?
Toyota Corolla Altis 1.8 VL CVT,2018,1650000,25000,Petrol,Dealer,Automatic,First Owner,?
Maruti 800 AC,2007,60000,70000,Petrol,Individual,Manual,First Owner,?
Maruti Wagon R LXI Minor,2007,135000,50000,Petrol,Individual,Manual,First Owner,?
Hyundai Verna 1.6 SX,2012,600000,100000,Diesel,Individual,Manual,First Owner,?
Datsun RediGO T Option,2017,250000,46000,Petrol,Individual,Manual,First Owner,123
Honda Amaze VX i-DTEC,2014,450000,141000,Diesel,Individual,Manual,Second Owner,?
Maruti Alto LX BSIII,2007,140000,125000,Petrol,Individual,Manual,First Owner,?
Hyundai Xcent 1.2 Kappa S,2016,550000,25000,Petrol,Individual,Manual,First Owner,?
Tata Indigo Grand Petrol,2014,240000,60000,Petrol,Individual,Manual,Second Owner,?
Hyundai Creta 1.6 VTVT S,2015,850000,25000,Petrol,Individual,Manual,First Owner,?
Maruti Celerio Green VXI,2017,365000,78000,CNG,Individual,Manual,First Owner,?
Chevrolet Sail 1.2 Base,2015,260000,35000,Petrol,Individual,Manual,First Owner,?
Tata Indigo Grand Petrol,2014,250000,100000,Petrol,Individual,Manual,First Owner,?
Toyota Corolla Altis 1.8 VL CVT,2018,1650000,25000,Petrol,Dealer,Automatic,First Owner,?
Maruti Ciaz VXi Plus,2015,585000,24000,Petrol,Dealer,Manual,First Owner,?
